,address,type,size,newcap,origurl,lat,long,price,commision_split,no_units,gross_rent_multiplier,lot_size,occupancy,property_subtype,additional_subtype,property_use_type,apn/parcel_id,year_built,no_stories,parking_ratio,apartment_style,listing_id,date_created,last_updated,description
69,2537 Fulton Street Berkeley CA,Multifamily,5720,5.5,https://www.loopnet.com/Listing/18223969/2537-Fulton-Street-Berkeley-CA/,37.862887,-122.26463000000001,,2%,9,12.64,"5,625 SF",,Garden/Low-Rise,,Investment,055-1829-014,1960.0,3.0,,,18223969,06/17/2013,11/02/2013,"
CBRE is pleased to offer 2537 Fulton Street in Berkeley.  This completely renovated apartment community consists of 8 Two Bedroom, 1 Bath units and 1 Penthouse Studio (Un-warranted) with San Francisco Bay and Golden Gate Bridge views.  The building has been seismically upgraded with permits and has been removed from the soft story list.  Here is a short list of the exterior improvements: 	"" 		New Modern Exterior Paint including Doors and Railings		"" 		New Landscaping		"" 		Resurfaced Parking Lot and Parking Spaces Re-Striped		"" 		New Secure, Entry Gates		"" 		New Electrical and an Electrical Upgrade	 The interiors of each unit have been renovated as well with Complete Kitchen and Bathroom Remodels.	 TOUR SCHEDULE AND CALL FOR OFFERS 	Wednesday, June 19th	10:30am - 12:00pm		Friday, June 21st	                9:30am - 11:00am		Tuesday, June 25th	       10:30am - 12:30pm		Thursday, June 27th	       12:00pm - 1:30pm	Call For Offers:   Friday, June 28th at 5:00pm
Located just 5 blocks from the University of California at Berkeley, 2537 Fulton Street is a completely renovated, fully rented, turn-key asset within walking distance to all of Downtown Berkeley's restaurants and entertainment.
"
70,2559 Cedar Street Berkeley CA,Multifamily,5280,6.0,https://www.loopnet.com/Listing/19742670/2559-Cedar-Street-Berkeley-CA/,37.879868,-122.25976000000001,,2.5%,2,12.94,"5,014 SF",,Duplex/Triplex/Fourplex,,Investment,58-2246-9,1920.0,2.0,,,19742670,04/20/2016,06/07/2016,"
OFFER DUE 5/3 3:00pm. Bright and beautifully updated home in desirable Berkeley Hills. Sweeping views of the San Francisco Bay, Golden Gate Bridge, U.C. Berkeley Campanile, and city lights. Spacious front patio and private back yard are ideal for outdoor living and entertaining.Golden duplex property 4 bed, 2 bath upper main home with separate 2 bed, 2 bath downstairs unit perfect for extended family, use as an office or rental. Impeccably maintained open floor plans with plenty of natural light and substantial additions throughout   hardwood floors, granite counters, solid wood cabinets, fireplaces, updated bathrooms, and dedicated laundry.
Prime location in a tranquil neighborhood and walking distance to the U.C. Berkeley, the German International School Berkeley Campus, and the Berkeley Rose Garden. Close to BART, AC Trans to SF, Berkeley' s Gourmet Ghetto, bookstores, shops, and more.
"
71,2559 Le Conte Ave Berkeley CA,Multifamily,12760,4.0,https://www.loopnet.com/Listing/15216194/2559-Le-Conte-Ave-Berkeley-CA/,37.877271,-122.25941999999999,,,29,13.38,0.29 AC,100%,Garden/Low-Rise,,Investment,058-2198-007,1920.0,2.0,"0.59 / 1,000 SF",,15216194,06/27/2007,02/19/2008,"
Maison Le Conte, located at 2559 Le Conte Avenue, is an extremely well located twenty-nine (29) unit apartment complex in Berkeley, CA.  The subject property is located just minutes from UC Berkeley, which has traditionally demanded some of the highest rents in the state.  In addition to rental increases through normal unit turnover, a new investor can realize immediate rental upside by matching the city's ""rent ceiling"" (see Berkeley Rent Board).  2559 Le Conte Avenue presents investors the opportunity to acquire a true pride of ownership property located in Berkeley, California, a market well positioned to receive significant, stable rent increases in the upcoming years.
Contact agent for complete marketing package.
"
72,2607 Ellsworth Street Berkeley CA,Multifamily,6600,4.0,https://www.loopnet.com/Listing/19570060/2607-Ellsworth-Street-Berkeley-CA/,37.862417,-122.26223,,2%,13,14.1,"6,375 SF",,Garden/Low-Rise,,Investment,,1965.0,5.0,"1 / 1,000 SF",,19570060,12/30/2015,03/24/2016,"
Tour Dates:Tuesday, January 26th, 11AM-12PMThursday, January 28th, 11AM-12PMTuesday, February 2nd, 11AM-12PMThursday, February 4th, 11AM-12PMCall For Offers: Friday, February 5th, by 3PM2607 Ellsworth is a well located 13 unit apartment complex. The property has a desirable unit mix of (12) 2bed/1bath units, and (1) 1bed/1bath unit. Featuring ample parking, on site laundry, phone key in system, and private balconies, 2607 Ellsworth demands premium rents. The top unit is a fully remodeled 2bed/1bath penthouse, with it's own washer dryer and fire place. Additionally, it has two private rooftop decks, with breathtaking views of the Bay, the San Francisco skyline, and the Berkeley Hills. This is truly a rare opportunity to acquire a stable asset with ~50% in rental upside.
The City of Berkeley is well known for its large student population and stable rental market. The subject property is located just a few blocks south of campus, making it ideal for student housing. Both Ashby and Downtown Berkeley Bart Stations are just a few minutes drive from the property. Additionally, Berkeley Bowl and Whole Foods are both within a few blocks from the property. The city of Berkeley features several recreational and entertainment options such as Tilden Regional Park, UC Botanical Gardens, Berkeley Marina, the Greek Theatre, Grizzly Peak, and Lake Anza.Popular local dining and drinking establishments are Triple Rock Brewery & Alehouse, Wood Tavern, Sliver Pizzeria, Eureka!, Le Note, Comal, Jupiter, and many more.
"
73,2610 Etna St Berkeley CA,Multifamily,6600,5.0,https://www.loopnet.com/Listing/16464160/2610-Etna-St-Berkeley-CA/,37.863519000000004,-122.25287,,2%,12,11.4,"6,750 SF",100%,Garden/Low-Rise,,Investment,,,,,,16464160,11/09/2009,10/05/2010,"
The subject property consists of 12 charming and spacious studio units. Each unit is approximately 600 sq. ft. and has hardwood floors, an eat in kitchen and large walk-in closet. There are 10 off-street parking spaces as well as 10 storage lockers. The solar panels on the roof help significantly reduce expenses.
Located in the beautiful Elmwood District, this property is ideally situated just a few blocks from U.C. Berkeley and only block from the upscale restaurants and shops along College Ave.
"
74,2620 Regent Berkeley CA,Multifamily,7040,6.5,https://www.loopnet.com/Listing/18109131/2620-Regent-Berkeley-CA/,37.862643,-122.25793,,2.25%,3,11.5,"7,065 SF",,Garden/Low-Rise,,Investment,055-1840-067,,,,,18109131,04/03/2013,08/08/2013,"
Rent-Control Exempt Tri-Plex close to the UC Campus. Classic brown shingle architecture exterior with modern interior layout. Each unit has 4 bedrooms and 3 bathrooms, including a master suite and bath. Built in 2000, this building won the BAHA award for new construction. Easy to manage and has low expenses. Income generated, rivals its commercial building counterparts. 100% occupancy since built and there is a waiting list for tenants. Great investment with solid cash flow.
Right by the UC Campus! Close to the Elmwood shopping/restaurant district, transit and boasts a good walk score.
"
75,2639 College Ave Berkeley CA,Multifamily,5280,4.5,https://www.loopnet.com/Listing/18126647/2639-College-Ave-Berkeley-CA/,37.862596,-122.25325,,3%,6,13.19,"5,400 SF",,Garden/Low-Rise,,Investment,055-1848-01900,,,,,18126647,04/16/2013,06/25/2013,"
Well maintained 6 unit building close to campus.  Consisting of 5 one bedroom units and one studio the building does have considerable upside in rent.  The property has a large rear yard and parking for the tenants.
Located just blocks from campus this building is in an ideal location.  Close to shopping , transit and parks.  Great walk score!
"
76,2669 Le Conte Berkeley CA,Multifamily,6160,7.5,https://www.loopnet.com/Listing/16625325/2669-Le-Conte-Berkeley-CA/,37.8776,-122.25761999999999,,3%,14,7.92,"6,250 SF",,Garden/Low-Rise,,Investment,,,,,,16625325,03/26/2010,04/28/2010,"
Exceptional North Berkeley property located only two blocks from UC Berkeley campus. Property is used as rooming house consisting of 14 rooms and 5 1/2 baths. Tax records show building as 5,827 square feet. Structure appears to be in very good condition. Interior shows great. Views of city, bay and Golden Gate Bridge from some rooms. Property is designated landmark. Income figures are based on estimated income of $20,000 per month. Current occupancy is approx. 50% due to management issues. Big upside potential for new owner. CONTACT AGENT FOR FINANCIAL DETAILS REGARDING PROPERTY.
North Berkeley just a few blocks to UC Berkeley Campus
"
77,2727 Haste Street Berkeley CA,Multifamily,7480,6.0,https://www.loopnet.com/Listing/14544638/2727-Haste-Street-Berkeley-CA/,37.866976,-122.25278,,,8,12.17,"7,350 SF",,Mid/High-Rise,,Investment,055 1868 005 00,1910.0,3.0,,,14544638,03/17/2006,06/24/2006,"
DO NOT DISTURB OCCUPANTS.  APPT ONLY!  Great income producing 33 bed rooming house just 3+ blocks to UC Berkeley campus!This charming early 1900 s Victorian home has been converted and run as a successful UCB women student rooming house for many generations.  The house has been remodeled through out the last 18 years.  Much of the delightful old details including box-beamed ceilings in some of the rooms have been retained in its renovation.  The house now consists of 11 spacious bedrooms and 6 ½ updated baths.  In addition, the detached garage has been converted without the benefit of permits into a room with a full bath.  There is a good mix of 2, 3 and 4 tenant  shared rooms.  The tenants all share a large common kitchen and coin-operated laundry facility. In an area where parking is a challenge, this property s 11 parking spots is a great attribute.  The accommodations are so nice that the student tenants feel like it is their home away from home.  With this sought after South side of campus location in the heart of the fraternities and sororities, this property is a great investment opportunity!
Unbeatable South side location!  3+ Blocks to UC Berkeley campus in the heart of all of the Fraternities and Sororities.
"
78,2747 Haste Street Berkeley CA,Multifamily,11440,3.0,https://www.loopnet.com/Listing/18351096/2747-Haste-Street-Berkeley-CA/,37.866963,-122.25215,,,25,,"11,300 SF",,Garden/Low-Rise,,Investment,,1920.0,4.0,"25 / 1,000 SF",,18351096,09/10/2013,11/19/2013,"
The Chateau Property is an exceptional apartment offering.  Built in 1925, it was operated for many years as a suites residence for visiting professors and University personnel. The property consists of 25 units on three stories, all spacious one bedrooms. Each unit is unique in design with an average of approximately 800 square feet of living space. Moreover, all of the units are individually metered for electricity, feature upgraded kitchens and offer secure underground parking.
The Chateau Apartment property, 2747 Haste Street, is situated on the Northwest corner of Haste Street and Piedmont Avenue. This property is at the very heart of the Piedmont Avenue residential district designed in 1865 by Frederick Law Olmsted, whom many say was America' s foremost landscape architect.
"
79,2811 Channing Way Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/13966904/2811-Channing-Way-Berkeley-CA/,37.868173999999996,-122.25123,,,8,11.5,"6,750 SF",20%,Garden/Low-Rise,,Investment,,1954.0,2.0,"1 / 1,000 SF",,13966904,07/16/2004,11/15/2004,"
Fully furnished 8-unit apartment complex located in premiere campus location. These charming units have hardwood floors, large kitchens, great closet space and off-street parking. Six units are now vacant giving the new owner the opportunity to maximize rents or use for incoming UC Berkeley offspring.  There is no better location on campus.
These units will always remain in high demand because of their wonderful location.  The fortunate renters in this property have convenient access to Boalt Law School, the School of Architecture, Memorial Stadium, restaurants, tennis courts and cafes... and of course UC Berkeley classrooms.
"
80,2901 Channing Way Berkeley CA,Multifamily,2732,6.0,https://www.loopnet.com/Listing/13960093/2901-Channing-Way-Berkeley-CA/,37.868140000000004,-122.25041,,,12,10.4,,,Garden/Low-Rise,,Investment,,1920.0,,,,13960093,07/07/2004,10/29/2004,"
NEWLY REMODELED INSIDE. 2901 Channing Way is a beautfiul Julia Morgan style rooming house just 2 blocks south of the UC Berkeley campus.  The property is perfect as a student rental property, and provides tremendous income.  The inside of the property is beautiful and has gone through recent upgrades.  Currently the property is vacant and ready to be rented for the upcoming school year.  There are 12 total rooms in the property that rent from $650-1200 per room.    Please see attached marketing brochure for more income and expense information.
The property is located just 2 blocks south of the UC Berkeley campus.  There is no better rental location in Berkeley for students.  The property is within walking distance to campus, restaraunts, and many shops.
"
81,50 Panoramic Way Berkeley CA,Multifamily,11440,4.0,https://www.loopnet.com/Listing/16333396/50-Panoramic-Way-Berkeley-CA/,37.867816999999995,-122.24833000000001,,,3,,"11,400 SF",,Duplex/Triplex/Fourplex,,Investment,,,,,,16333396,07/27/2009,09/03/2009,"
Vacant triplex, Beautiful Primary Home, Studio Rental and Detached Guest Home. Fantastic Panoramic Bay Views, One Block to U.C. Berkeley.For the first time, the former personal residence of award-winning Berkeley architect, William Corlett, is being offered for sale. The house is a terrific piece of architecture notable for its unique design and flexibility of use.The fantastic panoramic views can be seen from numerous points in the home including the wall of glass 360 degree skyroom and has stunning 5 bridge views from almost every other room in the home. The main home is comprised of two living levels plus the roof top skyroom and an attached studio unit in the lower portion. In the two living levels are three bedrooms, one and one-half baths, bay view living room, kitchen, dining room and a large family room. The property has a detached guest house, large patio and deck between the two structures.The home has a large living room with floor to ceiling
Located just a block above the Cal Campus, the property offers great access to all the wonderful opportunities at the University including swimming pools, museums, theaters, shopping, restaurants and cafes. The home is tucked away near the end of the Panoramic cul-de-sac in a lush private setting with mature trees and open space.
"
82,Dwight Way Berkeley CA,Multifamily,20193,5.5,https://www.loopnet.com/Listing/14521414/Dwight-Way-Berkeley-CA/,37.863203000000006,-122.27216999999999,,2%,28,,,100%,Mid/High-Rise,Garden/Low-Rise,Investment,,1965.0,4.0,,,14521414,03/01/2006,07/05/2006,"
Walking Distance to UC Berkeley Campus, Well Maintained and Cared, 29 Parking Space with Automatic GateExtra Income from Parking, Four 3/2 , Two penthouse 1/1 and Twenty Two 1/1. 100% occupied. Seller prefer ""AS-IS"" sale and CAR-RIPA form.
Desirable Rental Location for UC Berkeley Students. Very Closed to the South of UC Berkeley's campus
"
